,Site,date_yearmon,Day,Month,Year,Arsenic..water..filtered..micrograms.per.liter,Arsenic..water..unfiltered..micrograms.per.liter,Cadmium..water..filtered..micrograms.per.liter,Cadmium..water..unfiltered..micrograms.per.liter,Copper..water..filtered..micrograms.per.liter,Copper..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..unfiltered..recoverable..micrograms.per.liter,Iron..water..filtered..micrograms.per.liter,Lead..water..filtered..micrograms.per.liter,Lead..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..unfiltered..recoverable..micrograms.per.liter,Manganese..water..filtered..micrograms.per.liter,Zinc..water..filtered..micrograms.per.liter,Zinc..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..unfiltered..recoverable..micrograms.per.liter,Aluminum..water..filtered..micrograms.per.liter
95,DL,Jul-10,15,8,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,DL,Jul-10,20,8,2010,17.3,19.8,0.055,0.107,7.7,19.6,207,7.6,0.099,1.95,54.5,29.7,3.8,13.7,NA,NA
97,DL,Aug-10,11,9,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,DL,Aug-10,25,9,2010,15.2,17.2,0.055,0.097,5.9,14.8,183,9.6,0.086,1.47,52.1,29.1,6.6,13.9,NA,NA
99,DL,Sep-10,7,10,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,DL,Sep-10,7,10,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,DL,Jun-11,1,7,2011,23.4,34.7,0.092,0.394,14.7,97.6,1440,27.2,0.249,12.5,146,21.9,5.5,70.3,NA,NA
102,DL,Jun-11,8,7,2011,25.8,51.6,0.215,0.876,44.1,232,3340,67.2,0.405,30.5,266,65.4,36.6,183,NA,NA
103,DL,Jun-11,14,7,2011,36.6,46.6,0.28,0.504,45.9,120,1220,45.8,0.372,12.4,107,39.1,50.6,107,NA,NA
104,DL,Jun-11,14,7,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
105,DL,Jun-11,14,7,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,DL,Jun-11,24,7,2011,32.9,37.8,0.216,0.359,35.6,87.6,976,36.1,0.401,8.98,102,54.9,36.3,71.1,NA,NA
107,DL,Jun-11,29,7,2011,29.3,33.7,0.176,0.31,25.4,70.9,920,57.5,0.471,7.51,95.2,49.6,20.2,54.5,NA,NA
108,DL,Jul-11,7,8,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,DL,Jul-11,13,8,2011,19.4,33.3,0.099,0.355,14.4,103,1780,34.4,0.227,13.7,141,46.1,8.7,66.6,NA,NA
110,DL,Jul-11,13,8,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
111,DL,Jul-11,13,8,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,DL,Aug-11,9,9,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
113,DL,Aug-11,16,9,2011,18.7,20,0.089,0.121,7.4,21,244,9.4,0.081,1.95,59.1,31.1,6.6,17.8,NA,NA
114,DL,Aug-11,16,9,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
115,DL,Aug-11,16,9,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,DL,Jun-12,1,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
117,DL,Jun-12,1,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,DL,Jun-12,2,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
119,DL,Jun-12,2,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
120,DL,Jun-12,3,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,DL,Jun-12,3,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,DL,Jun-12,3,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,DL,Jun-12,3,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,DL,Jun-12,4,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,DL,Jun-12,4,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,DL,Jun-12,5,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,DL,Jun-12,5,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,DL,Jun-12,6,7,2012,14.1,43.2,0.074,0.784,12.9,220,4290,34.3,0.301,32.8,364,30,8,164,NA,NA
129,DL,Jun-12,6,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,DL,Jun-12,6,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,DL,Jun-12,6,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,DL,Jun-12,6,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,DL,Jun-12,7,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,DL,Jun-12,7,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
135,DL,Jun-12,8,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
136,DL,Jun-12,8,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
137,DL,Jun-12,9,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,DL,Jun-12,9,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
139,DL,Jun-12,10,7,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
