,Year,Site,day,month,ActivityStartDate,NH4_mg_L,DIN_mg_L,SRP__mg_L,pH,SPC,Temp_oC,TDS,TP_mg_L,TN_mg_L,TURBIDITY,...1,datetime.x,Day,Month,Q_CFS.x,Q_CFS.x,Q_CFS.y,anomaly,date_column,Days_Since_Freshet,AFDM,CHLa
76,2008,BN,1,9,9/9/2008,0.01,0.006166667,,8.643333333,480.5,14.90833333,255.0833333,0.0265,0.2,4.364166667,39,6/6/2008,6,6,3100,3.491361694,2830,1.030841164,9/1/2008,95,61.085,259.4736842
77,2008,BN,1,8,8/10/2008,0.02,0.005833333,,8.59,439.3333333,17.73333333,233.35,0.0315,0.216666667,3.835,39,6/6/2008,6,6,3100,3.491361694,2830,1.030841164,8/1/2008,65.5,103.72,112.75
238,2019,BN,1,7,7/16/2019,0.01365,0.005,0.039,8.58,423.5,18.65,275.275,0.0445,0.185,4.51,50,4/8/2019,8,4,3640,3.561101384,2830,1.087522663,7/1/2019,99.45212766,72.5528,69.41688889
239,2019,BN,1,8,8/19/2019,0.021825,0.004,0.032833333,8.605,417.75,19.7,270.5625,0.036083333,0.1875,4.06,50,4/8/2019,8,4,3640,3.561101384,2830,1.087522663,8/1/2019,133.9444444,55.81333333,117.65
253,2020,BN,1,7,7/23/2020,,,0.009,8.195,378.8,19.5,,0.027,0.15,5.015,51,5/22/2020,22,5,3670,3.564666064,2830,1.090502192,7/1/2020,62,77.21176471,55.5865
254,2020,BN,1,8,8/11/2020,,,0.00875,8.2975,429.975,19.525,,0.02225,0.1775,4.015,51,5/22/2020,22,5,3670,3.564666064,2830,1.090502192,8/1/2020,81.66666667,27.51904762,69.39333333
255,2020,BN,1,9,9/10/2020,0.02,,0.00975,8.315,480.3,16.5,,0.02125,0.19,4.1375,51,5/22/2020,22,5,3670,3.564666064,2830,1.090502192,9/1/2020,111.1666667,29.92238095,144.4933333
90,2009,BN,1,8,8/7/2009,0.008523333,0.00616125,0.015671667,8.318333333,399,18.51666667,211.9666667,0.044702083,0.268125,7.168333333,40,5/26/2009,26,5,3700,3.568201724,2830,1.093465528,8/1/2009,73.66666667,111.7,144.8571429
91,2009,BN,1,9,9/7/2009,0.009326667,0.008506667,0.01066,8.416666667,451.5,17.83333333,239.8333333,0.030218333,0.2535,4.641666667,40,5/26/2009,26,5,3700,3.568201724,2830,1.093465528,9/1/2009,104.5,56.35,225.6190476
104,2010,BN,1,9,9/9/2010,0.006825,0.003433333,0.0162,8.14,445.8333333,17.01666667,238.1666667,0.03275,0.225833333,3.228333333,41,6/18/2010,18,6,4130,3.615950052,2830,1.134282431,9/1/2010,83,82.45,138.3571429
105,2010,BN,1,8,8/6/2010,0.008625,0.005770833,0.0214,7.976666667,399.5,19.1,212.0666667,0.0414,0.229458333,3.798333333,41,6/18/2010,18,6,4130,3.615950052,2830,1.134282431,8/1/2010,49,68.68421053,61.98947368
206,2017,BN,1,7,7/14/2017,0.01745,0.0047,0.01265,8.26,445.25,19.85,289.55,0.03305,0.225,2.985,48,6/14/2017,14,6,5140,3.710963119,2830,1.220091012,7/1/2017,30.05555556,24.08235294,21.73529412
207,2017,BN,1,8,8/8/2017,0.016325,0.005825,0.0073,8.2825,476.35,18.85,309.7,0.023875,0.24875,2.3125,48,6/14/2017,14,6,5140,3.710963119,2830,1.220091012,8/1/2017,55.5,16.04285714,25.86190476
208,2017,BN,1,9,9/7/2017,0.0133,0.00895,0.00435,8.265,506.875,15.375,329.525,0.02375,0.3035,3.4575,48,6/14/2017,14,6,5140,3.710963119,2830,1.220091012,9/1/2017,85.5,31.16190476,58.45238095
223,2018,BN,1,9,9/7/2018,0.020875,0.0045,0.007125,8.42,453.65,16.55,295.1,0.02775,0.228,2.4,49,6/21/2018,21,6,5870,3.768638101,2830,1.275314278,9/1/2018,78.5,14.67619048,65.22857143
224,2018,BN,1,8,8/8/2018,0.01215,0.0051125,0.014666667,8.3,409.05,19.225,266,0.039891667,0.228666667,3.8775,49,6/21/2018,21,6,5870,3.768638101,2830,1.275314278,8/1/2018,48.25,27.97142857,24.37142857
170,2015,MS,1,7,7/7/2015,0.010475,0.0017,0.0016,8.23,224.7,18.75,146.2,0.0109,0.171666667,1.86,169,6/3/2015,3,6,7010,3.845718018,2580,1.395402309,7/1/2015,34.625,91.59259259,116.8148148
171,2015,MS,1,8,8/7/2015,0.0138625,0.00215,0.0017,8.1075,255.35,17.625,166.05,0.0133,0.218333333,2.4325,169,6/3/2015,3,6,7010,3.845718018,2580,1.395402309,8/1/2015,65.5,22.04761905,61.76190476
172,2015,MS,1,9,9/10/2015,0.0122,0.0026,0.00175,8.0575,294.65,14.575,191.4,0.018,0.2485,3.895,169,6/3/2015,3,6,7010,3.845718018,2580,1.395402309,9/1/2015,99,27.95238095,76.0952381
188,2016,MS,1,8,8/24/2016,0.0198,0.006025,0.001025,8.2625,255.85,16.725,166.225,0.030116667,0.23075,23.415,170,5/10/2016,10,5,7660,3.88422877,2580,1.437263361,8/1/2016,106,28.48571429,67.76190476
189,2016,MS,1,7,7/11/2016,,0.0011,8.00E-04,8.28,247.05,17.4,160.55,0.009533333,0.1405,1.195,170,5/10/2016,10,5,7660,3.88422877,2580,1.437263361,7/1/2016,62.74806202,76.10093023,114.755814
118,2011,BN,1,9,9/10/2011,0.00715,0.004391667,0.02135,8.393333333,399.8666667,15.075,259.9583333,0.040475,0.208916667,3.293333333,42,6/10/2011,10,6,7740,3.888740961,2830,1.3984647,9/1/2011,92,17.2,69.55555556
119,2011,BN,1,8,8/9/2011,0.009216667,0.01155,0.024183333,8.308333333,336.4166667,16.9,218.7166667,0.054066667,0.230833333,7.581666667,42,6/10/2011,10,6,7740,3.888740961,2830,1.3984647,8/1/2011,60,16.44444444,34.875
102,2010,MS,1,9,9/9/2010,0.007991667,0.003,0.0052,7.691666667,293.5,16.05,156.4166667,0.01485,0.175333333,2.263333333,164,6/18/2010,18,6,10100,4.004321374,2580,1.576039952,9/1/2010,83,30.72727273,71.9826087
103,2010,MS,1,8,8/8/2010,0.009641667,0.004216667,0.008283333,7.59,265,18.11666667,140.95,0.018533333,0.1765,2.531666667,164,6/18/2010,18,6,10100,4.004321374,2580,1.576039952,8/1/2010,51.25,50.28571429,120.95
285,2022,MS,1,7,7/23/2022,0.03,0.021,0.0195,8.315,251.45,20.5,,0.042,0.125,5.92,176,6/12/2022,12,6,11800,4.071882007,2580,1.659921055,7/1/2022,41.75,29.70731707,88.92817561
286,2022,MS,1,9,9/10/2022,0.016666667,0.003,0.002,8.415,295.875,17.875,,0.010166667,0.120833333,3.435,176,6/12/2022,12,6,11800,4.071882007,2580,1.659921055,9/1/2022,90.5,40.71428571,95.71087619
145,2013,MS,1,8,8/8/2013,0.0140425,0.0021175,0.00345,8.2125,263.875,17.1,171.6,0.01039,0.159135,2.6625,167,5/14/2013,14,5,12300,4.089905111,2580,1.683042703,8/1/2013,86.5,34.47619048,74.38095238
