,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms",Turbidity,DIN,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SPp,SRP,SP,"Total Phosphorus, mixed forms"
378,2017,BM,29200,4.465382851,2150,2.385877439,31,,,,,153.6666667,,21.44166667,10.675,10.76666667,5.025390625,11.33357143,9.644351469,0.732217573,4.266666667,11.66666666,15.93333333
,2009,BM,35300,4.547774705,2150,2.541628559,24,8.2,201,16,107000,,7.51,21.86,3.89,17.97,1.717203456,,,0.59981138,12.73,19.08,31.81
235,2009,GR,1420,3.152288344,270,1.739034482,74,8.603333333,429.3333333,19.36666667,228000,262,2.81,21.88,7.573333333,14.30666667,1.372647428,12.1293147,7.331405652,0.553959519,15.94,19.79666667,35.73666667
,2014,FH,41000,4.612783857,7590,1.754610377,86,,,,,178.6666667,,22.13333333,13.4,8.733333333,6.574257425,24.58638744,18.35616439,0.654109589,3.366666667,6.366666666,9.733333333
474,2017,BN,5140,3.710963119,2830,1.220091012,35,,,,,225,,22.15,17.45,4.7,1.750988142,9.943627451,6.807866868,0.617246596,12.65,20.4,33.05
131,2017,BN,5140,3.710963119,2830,1.220091012,62,8.305,507.45,17.85,329850,272.5,1.64,22.15,15.2,6.95,11.35897436,19.63529412,18.53741497,0.867346939,1.95,12.75,14.7
94,2014,BN,2620,3.418301291,2830,0.974626656,155,8.25,533,18.65,346450,230.5,3.135,22.2,17.65,4.55,1.286956522,12.81846154,6.880597015,0.485074627,17.25,16.25,33.5
300,2017,BN,5140,3.710963119,2830,1.220091012,90,8.225,506.3,12.9,329200,334.5,5.275,22.35,11.4,10.95,3.311111111,11.98272553,10.19817073,0.794207317,6.75,26.05,32.8
,2019,FH,42000,4.62324929,7590,1.768761072,121,8.46,265.6,15.2,172950,120,5.19,22.85,14.85,8,2.176190476,,12,,10.5,,10
340,2020,MS,20000,4.301029996,2580,1.979110744,118,,,,,125,,23,20,3,4.058823529,16.10526316,10.41666667,0.527777778,5.666666667,6.333333333,12
479,2011,MS,28100,4.44870632,2580,2.216641899,39,8.256666667,205.8666667,15.5,134300,185,7.886666667,23.08333333,11.75,11.33333333,1.972934473,7.427370031,5.52238806,0.650746269,11.7,21.8,33.5
