,Year,Site,Q_CFS.x,LOG_Q_CFS.x,Q_CFS.y,anomaly,Days_Since_Freshet,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Phosphorus, mixed forms",Turbidity,Orthophosphate,Ammonia,Nitrate + Nitrite,DNP,SNP,TNP,SNp,DIN,SN,"Total Nitrogen, mixed forms"
340,2016,DL,507,2.705007959,266,1.23986797,52,8.285,400.2,16.05,260300,19.4,1.9,3.6,12,38.7,14.08333333,12.56701031,15.18041237,0.827843803,50.7,243.8,294.5
343,2016,DL,507,2.705007959,266,1.23986797,115,8.205,476.95,11,309750,16.2,2.24,2.55,20.8,183.6,80.15686275,13.64814815,26.2654321,0.519623972,204.4,221.1,425.5
342,2016,DL,507,2.705007959,266,1.23986797,89,,,,,,,,18.03333333,254.8,,,,0.35270858,272.8333333,148.6666667,421.5
501,2021,DL,590,2.770852012,266,1.304137726,46,,,,,21,,2,30,114,72,9.095238095,15.95238095,0.570149254,144,191,335
503,2021,DL,590,2.770852012,266,1.304137726,79,,,,,17,,,30,93,,12.17647059,19.41176471,0.627272727,123,207,330
504,2021,DL,590,2.770852012,266,1.304137726,101,,,,,12,,,20,119,,14.25,25.83333333,0.551612903,139,171,310
506,2021,DL,590,2.770852012,266,1.304137726,124,,,,,13,,1,10,232,242,12.15384615,30.76923077,0.395,242,158,400
313,2015,DL,628,2.797959644,266,1.331555693,35,8.305,354.05,17.8,230100,19.7,2.565,4.2,10.85,50.3,14.55952381,13.57106599,16.6751269,0.813850837,61.15,267.35,328.5
316,2015,DL,628,2.797959644,266,1.331555693,105,8.385,471.1,11.7,306150,19,3.365,2.5,14.55,89.1,41.46,15.01842105,20.47368421,0.733547558,103.65,285.35,389
315,2015,DL,628,2.797959644,266,1.331555693,72,,,,,12.55,,2.35,9.666666667,159.6333333,72.04255319,18.86055777,32.35059761,0.583004926,169.3,236.7,406
290,2014,DL,741,2.869818208,266,1.407058618,74,8.59,461.75,13.1,300300,59.95,2.41,8.75,12.1,43.7,6.377142857,4.407005838,5.337781485,0.825625,55.8,264.2,320
287,2014,DL,741,2.869818208,266,1.407058618,11,8.27,308.1,17.75,200550,39.85,6.025,16.4,9.1,50.25,3.618902439,6.992471769,8.481806775,0.824408284,59.35,278.65,338
289,2014,DL,741,2.869818208,266,1.407058618,48,,,,,24.95,,10.75,16.15,62.1,7.279069767,9.689378758,12.8256513,0.75546875,78.25,241.75,320
225,2012,DL,781,2.892651034,266,1.431934433,17,8.48,243.45,14.1,158250,35.19,4.54,15.12,22.19,28.775,3.370701058,6.433503836,7.881784598,0.816249639,50.965,226.395,277.36
226,2012,DL,781,2.892651034,266,1.431934433,42,8.386666667,350.7333333,18.96666667,227900,41.8775,3.043333333,12.605,10.6875,64.445,5.960531535,6.244224225,8.03832607,0.776806535,75.1325,261.4925,336.625
227,2012,DL,781,2.892651034,266,1.431934433,72,,,,,22.50666667,,8.676666667,7.713333333,91.93333333,11.48444103,13.73667061,18.16409952,0.756253873,99.64666666,309.1666666,408.8133333
229,2012,DL,781,2.892651034,266,1.431934433,94,8.51,412.25,12.35,268100,17.345,2.33,3.035,8.47,103.8,36.99176277,14.02565581,20.49841453,0.684231251,112.27,243.275,355.545
547,2022,DL,856,2.932473765,266,1.476377358,68,8.37,490.05,19.45,,12,1.345,1.9,15,114.5,68.15789474,14.20833333,25,0.568333333,129.5,170.5,300
78,2008,DL,957,2.980911938,266,1.532298702,13,8.435,291.5,13.85,154950,120,14.65,,35,131.5,,2.779166667,4.166666667,0.667,166.5,333.5,500
79,2008,DL,957,2.980911938,266,1.532298702,41,8.633333333,324.3333333,19.43333333,172033.3333,48.75,4.32,,20,31.25,,4.58974359,5.641025641,0.813636364,51.25,223.75,275
81,2008,DL,957,2.980911938,266,1.532298702,104,8.985,464,11.9,251000,25.5,3.64,,10,61,,7.019607843,9.803921569,0.716,71,179,250
80,2008,DL,957,2.980911938,266,1.532298702,76,8.853333333,457.3333333,16.03333333,242666.6667,18,2.09,,10,56,,9.296296294,12.96296296,0.717142857,66,167.3333333,233.3333333
118,2009,DL,1140,3.056904851,266,1.624330522,100,8.503333333,434.6666667,17.66666667,231000,18.27,2.24,6.63,11.88666667,57.91666667,10.52840624,12.03411787,15.85477103,0.759021864,69.80333334,219.8633334,289.6666667
430,2019,DL,1280,3.10720997,266,1.688273399,121,8.205,462.55,13.75,300625,87.5,16.985,19.5,20,108,6.564102564,2.537142857,4,0.634285714,128,222,350
428,2019,DL,1280,3.10720997,266,1.688273399,52,8.85,345.4,18.05,224575,34,3.23,25.5,25,29.5,2.137254902,5.308823529,6.911764706,0.768085106,54.5,180.5,235
429,2019,DL,1280,3.10720997,266,1.688273399,87,8.495,437.3,19.65,284375,25.5,2.92,28.5,30,142.5,6.052631579,6.764705882,13.52941176,0.5,172.5,172.5,345
157,2010,DL,1470,3.167317335,266,1.767984959,55,8.403333333,385.6666667,19.9,204700,78.73333333,7.046666667,33.36666667,7.1,47.3,1.63036963,3.364944962,4.055884843,0.829645094,54.4,264.9333333,319.3333333
154,2010,DL,1470,3.167317335,266,1.767984959,6,8.09,285,16.4,151600,112.8,13.9,39.2,25.1,129.4,3.941326531,2.87677305,4.246453901,0.677453027,154.5,324.5,479
156,2010,DL,1470,3.167317335,266,1.767984959,29,,,,,44.9,,21.925,11.5,34.175,2.083238312,5.229955457,6.247216036,0.837165775,45.675,234.825,280.5
158,2010,DL,1470,3.167317335,266,1.767984959,83,8.513333333,415,14.9,220666.6667,37.9,4.18,20.46666667,8.466666667,70.03333333,3.835504885,6.451187335,8.522427441,0.756965944,78.5,244.5,323
369,2017,DL,1560,3.193124598,266,1.803353999,33,8.22,363.45,18.6,236250,24,2.29,8.1,12.75,27.25,4.938271605,9.145833333,10.8125,0.845857418,40,219.5,259.5
372,2017,DL,1560,3.193124598,266,1.803353999,90,8.185,471.1,10.65,306150,17.85,2.2,3.4,10.1,212.65,65.51470588,16.2605042,28.7394958,0.565789474,222.75,290.25,513
371,2017,DL,1560,3.193124598,266,1.803353999,65,,,,,16.86666667,,3.8,13.93333333,240.7333333,67.01754384,16.36363637,31.46245059,0.520100503,254.6666666,276.0000001,530.6666667
463,2020,DL,1590,3.201397124,266,1.81484064,89,,,,,13,,8.333333333,20,89.66666667,13.16,11.05128205,19.48717948,0.567105263,109.6666667,143.6666666,253.3333333
189,2011,DL,1960,3.292256071,266,1.945919238,36,8.203333333,244.8333333,15.23333333,159266.6667,63,10.93,23.7,11.45,46.025,2.425105485,3.591666667,4.503968254,0.797444934,57.475,226.275,283.75
190,2011,DL,1960,3.292256071,266,1.945919238,64,8.346666667,317.4,16.26666667,206466.6667,50.3,4.456666667,29.23333333,18.43333333,89.46666667,3.690992019,3.89860835,6.043737575,0.645065789,107.9,196.1,304
191,2011,DL,1960,3.292256071,266,1.945919238,95,8.445,375.15,11.65,244050,29.05,2.475,13.6,7.5,114.25,8.952205882,7.220309811,11.41135972,0.632730015,121.75,209.75,331.5
397,2018,DL,2180,3.338456494,266,2.016159805,25,8.17,300.5,17.5,195300,44.6,4.625,15.45,11.05,47.05,3.760517799,5.535874439,6.838565022,0.809508197,58.1,246.9,305
398,2018,DL,2180,3.338456494,266,2.016159805,51,8.175,411.55,14,267500,30.4,2.895,8.75,19.85,100.2,13.72,7.498355263,11.44736842,0.655028736,120.05,227.95,348
399,2018,DL,2180,3.338456494,266,2.016159805,77,,,,,27.63333333,,4.65,14.63333333,130,31.10394265,9.024125455,14.25814234,0.632910321,144.6333333,249.3666667,394
317,2015,FH,17000,4.230448921,7590,1.308385478,105,,,,,12.03333333,,,6.1,6.05,,14.50277009,15.51246538,0.934910714,12.15,174.5166667,186.6666667
318,2015,FH,17000,4.230448921,7590,1.308385478,36,8.58,182.2,20.55,118600,10.55,0.9,2.2,5.3,7.65,5.886363636,14.74407583,15.97156398,0.923145401,12.95,155.55,168.5
