,date_yearmon,Site.OLD,Site,ActivityStartDate,Day,Month,Year,Ammonia,Kjeldahl nitrogen,Nitrate + Nitrite,Orthophosphate,pH,Specific conductance,"Temperature, water",Total dissolved solids,"Total Nitrogen, mixed forms","Total Phosphorus, mixed forms",Turbidity
82,Aug-16,Clark Fork River above Little Blackfoot,GR,8/13/2016,13,8,2016,10.075,,1.766666667,10.43333333,,,,,279.6666667,30.16666667,
617,Aug-16,Clark Fork River above Little Blackfoot,GR,8/17/2016,17,8,2016,,,,,8.145,439.75,13.25,286050,,,1.195
83,Sep-16,Clark Fork River above Little Blackfoot,GR,9/14/2016,14,9,2016,24.15,,34.9,7.45,8.24,489.15,11.2,317800,293.5,22.7,1.21
84,Jul-17,Clark Fork River above Little Blackfoot,GR,7/17/2017,17,7,2017,13.5,,2.5,15.1,8.235,398.05,19,258700,284.5,35.85,2.15
85,Aug-17,Clark Fork River above Little Blackfoot,GR,8/12/2017,12,8,2017,12.53333333,,74.35,4.55,,,,,321,17.4,
618,Aug-17,Clark Fork River above Little Blackfoot,GR,8/15/2017,15,8,2017,,,,,8.23,472.95,16.2,307400,,,0.875
86,Sep-17,Clark Fork River above Little Blackfoot,GR,9/12/2017,12,9,2017,13.7,,180.8,10.9,8.23,487.1,10.9,316600,523,35,2.665
87,Jul-18,Clark Fork River above Little Blackfoot,GR,7/17/2018,17,7,2018,11.5,,25.55,20.35,8.28,347.4,18.65,225900,324,53.25,4.94
619,Aug-18,Clark Fork River above Little Blackfoot,GR,8/12/2018,12,8,2018,,,,,8.505,418.55,16.05,272000,,,1.815
88,Aug-18,Clark Fork River above Little Blackfoot,GR,8/16/2018,16,8,2018,19.4,,65.86666667,7.633333333,,,,,337.3333333,28.06666667,
89,Sep-18,Clark Fork River above Little Blackfoot,GR,9/11/2018,11,9,2018,24.9,,89.3,7.9,8.285,450.85,12.9,293150,368,31.9,3.48
90,Jul-19,Clark Fork River above Little Blackfoot,GR,7/9/2019,9,7,2019,13.7,,,46,8.735,378.15,19.4,245705,230,53,4.03
91,Aug-19,Clark Fork River above Little Blackfoot,GR,8/13/2019,13,8,2019,30,,74,30,8.65,443.9,19.7,288280,310,37.5,2.6
620,Sep-19,Clark Fork River above Little Blackfoot,GR,9/16/2019,16,9,2019,,,,,8.205,451.35,14,298475,,,22.69
92,Sep-19,Clark Fork River above Little Blackfoot,GR,9/19/2019,19,9,2019,16.66666667,,102,23.33333333,,,,,340,94.66666667,
93,Jul-20,Clark Fork River above Little Blackfoot,GR,7/22/2020,22,7,2020,,,,9,,,,,180,26,
621,Jul-20,Clark Fork River above Little Blackfoot,GR,7/22/2020,22,7,2020,,,,,8.51,364.1,19.7,,,,4.095
94,Aug-20,Clark Fork River above Little Blackfoot,GR,8/12/2020,12,8,2020,,,17,11.5,,,,,240,20,
622,Aug-20,Clark Fork River above Little Blackfoot,GR,8/17/2020,17,8,2020,,,,,8.375,448.5,17.95,,,,3.92
623,Sep-20,Clark Fork River above Little Blackfoot,GR,9/13/2020,13,9,2020,,,,,8.265,489.1,12.35,,,,2.4
95,Sep-20,Clark Fork River above Little Blackfoot,GR,9/16/2020,16,9,2020,20,,36,13.66666667,,,,,250,22.33333333,
624,Jul-21,Clark Fork River above Little Blackfoot,GR,7/14/2021,14,7,2021,,,,,8.67,476.15,20.75,,,,2.635
96,Jul-21,Clark Fork River above Little Blackfoot,GR,7/23/2021,23,7,2021,25,,2,4.666666667,,,,,260,34.33333333,
625,Aug-21,Clark Fork River above Little Blackfoot,GR,8/22/2021,22,8,2021,,,,,8.615,498.7,18.75,,,,3.215
97,Aug-21,Clark Fork River above Little Blackfoot,GR,8/25/2021,25,8,2021,30,,4,3,,,,,260,30,
98,Sep-21,Clark Fork River above Little Blackfoot,GR,9/11/2021,11,9,2021,20,,34,2,,,,,225,15.5,
626,Sep-21,Clark Fork River above Little Blackfoot,GR,9/23/2021,23,9,2021,,,,,8.52,509.45,10.55,,,,1.985
99,Oct-21,Clark Fork River above Little Blackfoot,GR,10/8/2021,8,10,2021,10,,16,1,,,,,200,7.5,
586,Jul-22,Clark Fork River above Little Blackfoot,GR,7/13/2022,13,7,2022,,,,,,,,,,,
100,Jul-22,Clark Fork River above Little Blackfoot,GR,7/22/2022,22,7,2022,30,,,21,8.43,436.1,21.2,,,50,3.125
718,Jul-22,Clark Fork River above Little Blackfoot,GR,7/25/2022,25,7,2022,,,,,,,,,223.3333333,,
101,Aug-22,Clark Fork River above Little Blackfoot,GR,8/19/2022,19,8,2022,15,,6,7,8.585,466.15,21,,205,34,1.695
102,Sep-22,Clark Fork River above Little Blackfoot,GR,9/18/2022,18,9,2022,,,,1.3,,,,,233.3333333,12.66666667,
627,Sep-22,Clark Fork River above Little Blackfoot,GR,9/20/2022,20,9,2022,,,,,8.48,524.55,15.7,,,,1.195
144,Jul-20,Clark Fork River above Missoula,MS,7/22/2020,22,7,2020,,,,6,,,,,110,17,
103,Jun-08,Clark Fork River above Missoula,MS,6/15/2008,15,6,2008,23.33333333,333.3333333,35.66666667,,,,,,,67,
628,Jun-08,Clark Fork River above Missoula,MS,6/18/2008,18,6,2008,,,,,8.28,177.75,11.65,94250,,,22.1
104,Jul-08,Clark Fork River above Missoula,MS,7/16/2008,16,7,2008,20,200,5.666666667,,8.476666667,230.6666667,17.33333333,122633.3333,,24.33333333,4.603333333
105,Aug-08,Clark Fork River above Missoula,MS,8/20/2008,20,8,2008,15,133.3333333,8.333333333,,8.273333333,276,16.2,146300,,9.666666667,1.636666667
106,Sep-08,Clark Fork River above Missoula,MS,9/17/2008,17,9,2008,10,,8.5,,8.35,305,12.15,161750,,11,2.745
107,Jun-09,Clark Fork River above Missoula,MS,6/24/2009,24,6,2009,10.61333333,,7.906666667,15.355,7.93,205,14.1,109000,,37.065,10.9
108,Jul-09,Clark Fork River above Missoula,MS,7/15/2009,15,7,2009,10.79,,3.943333333,10.04666667,7.8,244.6666667,16.23333333,130033.3333,199.3333333,23.02333333,5.023333333
629,Aug-09,Clark Fork River above Missoula,MS,8/14/2009,14,8,2009,,,,,7.993333333,286.3333333,18.06666667,152233.3333,161,16.46,2.47
109,Aug-09,Clark Fork River above Missoula,MS,8/17/2009,17,8,2009,7.4225,,6.52,5.38,,,,,,,
110,Sep-09,Clark Fork River above Missoula,MS,9/9/2009,9,9,2009,10.395,,3.896,3.465,7.853333333,301.6666667,15.66666667,160066.6667,161.6666667,10.66333333,1.793333333
111,Jun-10,Clark Fork River above Missoula,MS,6/23/2010,23,6,2010,23.85,,31.5,18.2,7.14,199.2,14.9,105700,299,61.85,17.9
112,Jul-10,Clark Fork River above Missoula,MS,7/14/2010,14,7,2010,9.35,,4.9,10,7.52,247,17.4,131400,164,19.46666667,2.816666667
630,Aug-10,Clark Fork River above Missoula,MS,8/11/2010,11,8,2010,,,,,7.66,283,18.83333333,150500,,,2.246666667
113,Aug-10,Clark Fork River above Missoula,MS,8/12/2010,12,8,2010,9.933333333,,3.533333333,6.566666667,,,,,189,17.6,
114,Sep-10,Clark Fork River above Missoula,MS,9/8/2010,8,9,2010,6.05,,2.466666667,3.833333333,7.723333333,304,13.26666667,162333.3333,161.6666667,12.1,2.28
115,Jun-11,Clark Fork River above Missoula,MS,6/23/2011,23,6,2011,32.4,,26.9,17.3,,,,,,85.23333333,
631,Jun-11,Clark Fork River above Missoula,MS,6/25/2011,25,6,2011,,,,,7.935,164.5,12.85,106950,,,36.25
116,Jul-11,Clark Fork River above Missoula,MS,7/19/2011,19,7,2011,11.75,,11.33333333,11.7,8.256666667,205.8666667,15.5,134300,185,33.5,7.886666667
632,Aug-11,Clark Fork River above Missoula,MS,8/17/2011,17,8,2011,,,,,8.383333333,240.7333333,15.4,156433.3333,,,2.156666667
117,Aug-11,Clark Fork River above Missoula,MS,8/18/2011,18,8,2011,9.533333333,,4.64,10.96666667,,,,,130.3333333,18.1,
118,Sep-11,Clark Fork River above Missoula,MS,9/17/2011,17,9,2011,8.8,,2.9,6.8,8.36,277,12.1,180000,146,13.5,2.06
119,Jun-12,Clark Fork River above Missoula,MS,6/22/2012,22,6,2012,12.90666667,,5.853333333,9.536666667,,,,,204.6833333,23.98333333,
633,Jun-12,Clark Fork River above Missoula,MS,6/23/2012,23,6,2012,,,,,8.16,162.1,12.3,105300,,,5.48
120,Jul-12,Clark Fork River above Missoula,MS,7/18/2012,18,7,2012,12.16,,2.71,3.47,8.176666667,231.4,17.23333333,150566.6667,149.4866667,11.03666667,1.49
634,Aug-12,Clark Fork River above Missoula,MS,8/17/2012,17,8,2012,,,,,8.35,255.1666667,16.7,165966.6667,,,1.696666667
121,Aug-12,Clark Fork River above Missoula,MS,8/18/2012,18,8,2012,9.133333333,,3.61,3.756666667,,,,,165.0766667,12.74,
122,Sep-12,Clark Fork River above Missoula,MS,9/8/2012,8,9,2012,7.03,,2.2,1.72,8.345,280.9,11.75,182650,159.635,8.9,1.415
123,Jul-13,Clark Fork River above Missoula,MS,7/17/2013,17,7,2013,15.095,,2.21,3.57,8.22,252,17.8,163750,163.265,9.13,3.1
124,Aug-13,Clark Fork River above Missoula,MS,8/14/2013,14,8,2013,12.99,,2.025,3.33,8.205,275.75,16.4,179450,155.005,11.65,2.225
125,Sep-13,Clark Fork River above Missoula,MS,9/9/2013,9,9,2013,10.82333333,,0.968,3.71,,,,,,10.41,
635,Sep-13,Clark Fork River above Missoula,MS,9/11/2013,11,9,2013,,,,,8.225,294.95,15.15,191800,146.845,,
727,Sep-13,Clark Fork River above Missoula,MS,9/18/2013,18,9,2013,,,,,,,,,,,2.32
126,Jul-14,Clark Fork River above Missoula,MS,7/5/2014,5,7,2014,8,,3.766666667,9.066666667,,,,,142,22.43333333,
636,Jul-14,Clark Fork River above Missoula,MS,7/9/2014,9,7,2014,,,,,7.795,230.95,16.1,150150,,,4.01
127,Aug-14,Clark Fork River above Missoula,MS,8/13/2014,13,8,2014,12.65,,1.9,4.3,7.91,301.15,17.4,195950,151.5,11.55,1.55
128,Sep-14,Clark Fork River above Missoula,MS,9/10/2014,10,9,2014,10.8,,1.85,5.3,7.74,338.45,13.4,220050,189.5,15.7,2.595
129,Jul-15,Clark Fork River above Missoula,MS,7/4/2015,4,7,2015,10.475,,1.7,1.6,,,,,171.6666667,10.9,
637,Jul-15,Clark Fork River above Missoula,MS,7/8/2015,8,7,2015,,,,,8.23,224.7,18.75,146200,,,1.86
130,Aug-15,Clark Fork River above Missoula,MS,8/12/2015,12,8,2015,17.25,,2.6,1.8,7.985,286,16.5,185900,265,15.7,3.005
131,Sep-15,Clark Fork River above Missoula,MS,9/16/2015,16,9,2015,7.15,,,1.7,8.13,303.3,12.65,196900,232,20.3,4.785
132,Jul-16,Clark Fork River above Missoula,MS,7/9/2016,9,7,2016,,,1.1,0.8,,,,,140.5,9.533333333,
