ActivityStartDate,MonitoringLocationName,CharacteristicName,ResultMeasureValue
7/16/2008,Clark Fork River at Deer Lodge,Turbidity,3.34
7/17/2008,Clark Fork River at Huson,Ammonia,10
7/17/2008,Clark Fork River above Flathead,Ammonia,10
7/17/2008,Clark Fork River below Missoula,Ammonia,30
7/17/2008,Clark Fork River above Flathead,Kjeldahl nitrogen,100
7/17/2008,Clark Fork River below Missoula,Kjeldahl nitrogen,200
7/17/2008,Clark Fork River at Huson,Kjeldahl nitrogen,200
7/17/2008,Clark Fork River above Flathead,Nitrate + Nitrite,6
7/17/2008,Clark Fork River at Huson,Nitrate + Nitrite,12
7/17/2008,Clark Fork River below Missoula,Nitrate + Nitrite,24
7/17/2008,Clark Fork River below Missoula,pH,8.61
7/17/2008,Clark Fork River at Huson,pH,8.67
7/17/2008,Clark Fork River above Flathead,pH,8.77
7/17/2008,Clark Fork River above Flathead,Specific conductance,179.2
7/17/2008,Clark Fork River at Huson,Specific conductance,184.7
7/17/2008,Clark Fork River below Missoula,Specific conductance,238
7/17/2008,Clark Fork River below Missoula,"Temperature, water",16.4
7/17/2008,Clark Fork River at Huson,"Temperature, water",19.1
7/17/2008,Clark Fork River above Flathead,"Temperature, water",19.2
7/17/2008,Clark Fork River above Flathead,Total dissolved solids,95000
7/17/2008,Clark Fork River at Huson,Total dissolved solids,97900
7/17/2008,Clark Fork River below Missoula,Total dissolved solids,126500
7/17/2008,Clark Fork River at Huson,"Total Phosphorus, mixed forms",16
7/17/2008,Clark Fork River above Flathead,"Total Phosphorus, mixed forms",18
7/17/2008,Clark Fork River below Missoula,"Total Phosphorus, mixed forms",20
7/17/2008,Clark Fork River below Missoula,Turbidity,3.26
7/17/2008,Clark Fork River above Flathead,Turbidity,3.61
7/17/2008,Clark Fork River at Huson,Turbidity,3.96
7/23/2008,Clark Fork River above Missoula,Ammonia,10
7/23/2008,Clark Fork River above Little Blackfoot,Ammonia,10
7/23/2008,Clark Fork River at Bonita,Ammonia,20
7/23/2008,Clark Fork River at Deer Lodge,Ammonia,20
7/23/2008,Clark Fork River above Missoula,Kjeldahl nitrogen,200
7/23/2008,Clark Fork River at Bonita,Kjeldahl nitrogen,200
7/23/2008,Clark Fork River above Little Blackfoot,Kjeldahl nitrogen,300
7/23/2008,Clark Fork River at Deer Lodge,Kjeldahl nitrogen,300
7/23/2008,Clark Fork River above Missoula,Nitrate + Nitrite,3
7/23/2008,Clark Fork River at Bonita,Nitrate + Nitrite,3
7/23/2008,Clark Fork River above Little Blackfoot,Nitrate + Nitrite,3
7/23/2008,Clark Fork River at Deer Lodge,Nitrate + Nitrite,34
7/23/2008,Clark Fork River above Missoula,pH,8.57
7/23/2008,Clark Fork River above Little Blackfoot,pH,8.72
7/23/2008,Clark Fork River at Bonita,pH,8.74
7/23/2008,Clark Fork River at Deer Lodge,pH,8.79
7/23/2008,Clark Fork River above Missoula,Specific conductance,242
7/23/2008,Clark Fork River at Deer Lodge,Specific conductance,361
7/23/2008,Clark Fork River above Little Blackfoot,Specific conductance,414
7/23/2008,Clark Fork River at Bonita,Specific conductance,422
7/23/2008,Clark Fork River above Missoula,"Temperature, water",17.4
7/23/2008,Clark Fork River at Bonita,"Temperature, water",19.2
7/23/2008,Clark Fork River above Little Blackfoot,"Temperature, water",19.6
7/23/2008,Clark Fork River at Deer Lodge,"Temperature, water",19.7
7/23/2008,Clark Fork River above Missoula,Total dissolved solids,128100
7/23/2008,Clark Fork River at Deer Lodge,Total dissolved solids,191800
7/23/2008,Clark Fork River above Little Blackfoot,Total dissolved solids,220000
7/23/2008,Clark Fork River at Bonita,Total dissolved solids,224000
7/23/2008,Clark Fork River above Missoula,"Total Phosphorus, mixed forms",15
7/23/2008,Clark Fork River at Bonita,"Total Phosphorus, mixed forms",32
7/23/2008,Clark Fork River at Deer Lodge,"Total Phosphorus, mixed forms",38
7/23/2008,Clark Fork River above Little Blackfoot,"Total Phosphorus, mixed forms",42
7/23/2008,Clark Fork River above Little Blackfoot,Turbidity,2.09
7/23/2008,Clark Fork River at Bonita,Turbidity,2.15
7/23/2008,Clark Fork River above Missoula,Turbidity,2.69
7/23/2008,Clark Fork River at Deer Lodge,Turbidity,3.44
7/24/2008,Clark Fork River at Huson,Ammonia,
7/24/2008,Clark Fork River above Flathead,Ammonia,10
7/24/2008,Clark Fork River below Missoula,Ammonia,20
7/24/2008,Clark Fork River above Flathead,Kjeldahl nitrogen,
7/24/2008,Clark Fork River below Missoula,Kjeldahl nitrogen,200
7/24/2008,Clark Fork River at Huson,Kjeldahl nitrogen,200
7/24/2008,Clark Fork River at Huson,Nitrate + Nitrite,3
7/24/2008,Clark Fork River above Flathead,Nitrate + Nitrite,6
7/24/2008,Clark Fork River below Missoula,Nitrate + Nitrite,23
7/24/2008,Clark Fork River above Flathead,pH,8.53
7/24/2008,Clark Fork River below Missoula,pH,8.58
7/24/2008,Clark Fork River at Huson,pH,8.67
7/24/2008,Clark Fork River above Flathead,Specific conductance,194
7/24/2008,Clark Fork River at Huson,Specific conductance,196.2
7/24/2008,Clark Fork River below Missoula,Specific conductance,249
7/24/2008,Clark Fork River below Missoula,"Temperature, water",17
7/24/2008,Clark Fork River at Huson,"Temperature, water",19.7
7/24/2008,Clark Fork River above Flathead,"Temperature, water",21.1
7/24/2008,Clark Fork River above Flathead,Total dissolved solids,102900
7/24/2008,Clark Fork River at Huson,Total dissolved solids,104100
7/24/2008,Clark Fork River below Missoula,Total dissolved solids,132000
7/24/2008,Clark Fork River above Flathead,"Total Phosphorus, mixed forms",7
7/24/2008,Clark Fork River at Huson,"Total Phosphorus, mixed forms",13
7/24/2008,Clark Fork River below Missoula,"Total Phosphorus, mixed forms",19
7/24/2008,Clark Fork River above Flathead,Turbidity,1.28
7/24/2008,Clark Fork River below Missoula,Turbidity,4.17
8/1/2008,Clark Fork River above Missoula,"Chlorophyll a, corrected for pheophytin",
8/1/2008,Clark Fork River above Missoula,"Chlorophyll a, corrected for pheophytin",
8/1/2008,Clark Fork River above Flathead,"Chlorophyll a, corrected for pheophytin",
8/1/2008,Clark Fork River above Flathead,"Chlorophyll a, corrected for pheophytin",
8/1/2008,Clark Fork River above Missoula,"Chlorophyll a, corrected for pheophytin",
8/1/2008,Clark Fork River above Flathead,"Chlorophyll a, corrected for pheophytin",1
8/1/2008,Clark Fork River above Missoula,"Chlorophyll a, corrected for pheophytin",1
8/1/2008,Clark Fork River above Flathead,"Chlorophyll a, corrected for pheophytin",2
