agency_cd,SITE,datetime,Day,Month,Year,Temp_Mean,10s,Temp Max,10s,Temp Min,10s,Discharge_CFS,10s
USGS,12324200,12/25/1997,25,12,1997,0,A,0,A,0,A,269,A
USGS,12324200,12/26/1997,26,12,1997,0,A,0,A,0,A,252,A
USGS,12324200,12/27/1997,27,12,1997,0,A,0,A,0,A,259,A
USGS,12324200,12/28/1997,28,12,1997,0,A,0.5,A,0,A,251,A
USGS,12324200,12/29/1997,29,12,1997,0.5,A,1,A,0,A,273,A
USGS,12324200,12/30/1997,30,12,1997,2,A,2.5,A,0.5,A,284,A
USGS,12324200,12/31/1997,31,12,1997,1.5,A,2,A,0.5,A,272,A
USGS,12324200,1/1/1998,1,1,1998,2,A,2.5,A,1.5,A,277,A
USGS,12324200,1/2/1998,2,1,1998,2.5,A,2.5,A,2,A,289,A
USGS,12324200,1/3/1998,3,1,1998,1.5,A,2,A,1,A,299,A
USGS,12324200,1/4/1998,4,1,1998,1.5,A,2,A,1,A,298,A
USGS,12324200,1/5/1998,5,1,1998,1,A,1.5,A,0,A,299,A
USGS,12324200,1/6/1998,6,1,1998,0,A,0.5,A,0,A,277,A
USGS,12324200,1/7/1998,7,1,1998,0,A,0.5,A,0,A,287,A
USGS,12324200,1/8/1998,8,1,1998,0,A,0,A,0,A,291,A
USGS,12324200,1/9/1998,9,1,1998,0,A,0,A,0,A,260,A:e
USGS,12324200,1/10/1998,10,1,1998,0,A,0,A,0,A,220,A:e
USGS,12324200,1/11/1998,11,1,1998,0,A,0,A,0,A,200,A:e
USGS,12324200,1/12/1998,12,1,1998,0,A,0,A,0,A,190,A:e
USGS,12324200,1/13/1998,13,1,1998,0,A,0,A,0,A,200,A:e
USGS,12324200,1/14/1998,14,1,1998,0,A,0.5,A,0,A,220,A:e
USGS,12324200,1/15/1998,15,1,1998,0.5,A,0.5,A,0,A,234,A
USGS,12324200,1/16/1998,16,1,1998,0,A,0.5,A,0,A,228,A
USGS,12324200,1/17/1998,17,1,1998,0.5,A,0.5,A,0,A,273,A
USGS,12324200,1/18/1998,18,1,1998,0.5,A,0.5,A,0,A,296,A
USGS,12324200,1/19/1998,19,1,1998,0,A,0.5,A,0,A,306,A
USGS,12324200,1/20/1998,20,1,1998,0.5,A,1,A,0,A,309,A
USGS,12324200,1/21/1998,21,1,1998,1,A,1.5,A,0,A,299,A
USGS,12324200,1/22/1998,22,1,1998,1,A,1.5,A,0.5,A,287,A
USGS,12324200,1/23/1998,23,1,1998,0.5,A,1.5,A,0,A,280,A
USGS,12324200,1/24/1998,24,1,1998,2,A,2.5,A,1.5,A,283,A
USGS,12324200,1/25/1998,25,1,1998,2.5,A,3.5,A,2,A,282,A
USGS,12324200,1/26/1998,26,1,1998,2.5,A,3.5,A,1.5,A,278,A
USGS,12324200,1/27/1998,27,1,1998,2.5,A,3.5,A,2,A,277,A
USGS,12324200,1/28/1998,28,1,1998,2,A,3,A,1.5,A,279,A
USGS,12324200,1/29/1998,29,1,1998,1.5,A,2.5,A,0.5,A,274,A
USGS,12324200,1/30/1998,30,1,1998,2,A,2.5,A,1.5,A,277,A
USGS,12324200,1/31/1998,31,1,1998,2,A,2.5,A,1,A,272,A
USGS,12324200,2/1/1998,1,2,1998,1,A,1.5,A,0,A,255,A
USGS,12324200,2/2/1998,2,2,1998,0.5,A,1.5,A,0,A,268,A
USGS,12324200,2/3/1998,3,2,1998,1.5,A,3,A,0,A,267,A
USGS,12324200,2/4/1998,4,2,1998,2.5,A,3.5,A,1.5,A,276,A
USGS,12324200,2/5/1998,5,2,1998,2.5,A,3.5,A,1.5,A,271,A
USGS,12324200,2/6/1998,6,2,1998,2.5,A,3.5,A,1,A,267,A
USGS,12324200,2/7/1998,7,2,1998,3.5,A,4.5,A,2.5,A,273,A
USGS,12324200,2/8/1998,8,2,1998,3,A,3.5,A,2,A,289,A
USGS,12324200,2/9/1998,9,2,1998,3,A,4,A,2.5,A,278,A
USGS,12324200,2/10/1998,10,2,1998,2.5,A,3.5,A,2,A,276,A
USGS,12324200,2/11/1998,11,2,1998,2.5,A,3,A,1.5,A,277,A
USGS,12324200,2/12/1998,12,2,1998,2,A,3,A,1,A,267,A
USGS,12324200,2/13/1998,13,2,1998,2.5,A,3.5,A,1.5,A,269,A
USGS,12324200,2/14/1998,14,2,1998,2,A,2.5,A,1,A,267,A
USGS,12324200,2/15/1998,15,2,1998,2.5,A,3.5,A,1,A,264,A
USGS,12324200,2/16/1998,16,2,1998,3,A,4.5,A,2,A,266,A
USGS,12324200,2/17/1998,17,2,1998,2.5,A,4,A,1.5,A,263,A
USGS,12324200,2/18/1998,18,2,1998,3,A,4.5,A,2,A,266,A
USGS,12324200,2/19/1998,19,2,1998,2.5,A,4,A,1,A,260,A
USGS,12324200,2/20/1998,20,2,1998,3,A,4,A,1.5,A,260,A
USGS,12324200,2/21/1998,21,2,1998,2.5,A,3.5,A,2,A,263,A
USGS,12324200,2/22/1998,22,2,1998,3,A,3.5,A,2,A,270,A
USGS,12324200,2/23/1998,23,2,1998,2,A,3.5,A,1,A,263,A
USGS,12324200,2/24/1998,24,2,1998,1.5,A,2,A,1,A,258,A
USGS,12324200,2/25/1998,25,2,1998,2,A,3.5,A,1,A,262,A
USGS,12324200,2/26/1998,26,2,1998,2,A,3,A,1.5,A,260,A
USGS,12324200,2/27/1998,27,2,1998,2,A,3,A,1,A,255,A
USGS,12324200,2/28/1998,28,2,1998,1.5,A,2.5,A,0,A,241,A
USGS,12324200,3/1/1998,1,3,1998,3,A,4.5,A,1.5,A,264,A
USGS,12324200,3/2/1998,2,3,1998,4,A,5.5,A,3,A,262,A
USGS,12324200,3/3/1998,3,3,1998,3.5,A,4.5,A,2,A,269,A
USGS,12324200,3/4/1998,4,3,1998,2,A,2.5,A,1,A,269,A
USGS,12324200,3/5/1998,5,3,1998,2,A,3.5,A,1,A,260,A
USGS,12324200,3/6/1998,6,3,1998,1.5,A,2.5,A,0.5,A,254,A
USGS,12324200,3/7/1998,7,3,1998,1,A,2.5,A,0,A,252,A
USGS,12324200,3/8/1998,8,3,1998,1,A,2,A,0,A,250,A
USGS,12324200,3/9/1998,9,3,1998,1.5,A,3,A,0.5,A,261,A
USGS,12324200,3/10/1998,10,3,1998,3.5,A,5,A,2,A,258,A
USGS,12324200,3/11/1998,11,3,1998,4.5,A,6,A,3.5,A,254,A
USGS,12324200,3/12/1998,12,3,1998,4.5,A,6.5,A,2.5,A,264,A
USGS,12324200,3/13/1998,13,3,1998,5.5,A,7,A,3.5,A,287,A
USGS,12324200,3/14/1998,14,3,1998,6,A,7,A,4.5,A,300,A
USGS,12324200,3/15/1998,15,3,1998,6,A,6.5,A,4.5,A,316,A
USGS,12324200,3/16/1998,16,3,1998,6,A,7,A,5.5,A,331,A
USGS,12324200,3/17/1998,17,3,1998,4.5,A,5.5,A,3.5,A,348,A
USGS,12324200,3/18/1998,18,3,1998,3.5,A,5,A,2,A,334,A
USGS,12324200,3/19/1998,19,3,1998,5,A,6.5,A,3.5,A,307,A
USGS,12324200,3/20/1998,20,3,1998,5.5,A,7.5,A,3.5,A,284,A
USGS,12324200,3/21/1998,21,3,1998,6,A,7.5,A,4.5,A,279,A
USGS,12324200,3/22/1998,22,3,1998,7,A,7.5,A,6.5,A,300,A
USGS,12324200,3/23/1998,23,3,1998,7,A,7.5,A,6.5,A,333,A
USGS,12324200,3/24/1998,24,3,1998,6.5,A,7.5,A,6,A,360,A
USGS,12324200,3/25/1998,25,3,1998,6,A,6.5,A,5,A,357,A
USGS,12324200,3/26/1998,26,3,1998,6,A,7,A,5,A,350,A
USGS,12324200,3/27/1998,27,3,1998,5.5,A,7.5,A,4.5,A,340,A
USGS,12324200,3/28/1998,28,3,1998,5,A,6.5,A,4.5,A,331,A
USGS,12324200,3/29/1998,29,3,1998,3,A,4.5,A,2,A,313,A
USGS,12324200,3/30/1998,30,3,1998,4,A,6.5,A,1.5,A,304,A
USGS,12324200,3/31/1998,31,3,1998,6,A,8,A,3.5,A,308,A
USGS,12324200,4/1/1998,1,4,1998,7,A,9,A,5,A,300,A
USGS,12324200,4/2/1998,2,4,1998,7.5,A,9,A,6,A,298,A
USGS,12324200,4/3/1998,3,4,1998,8,A,9.5,A,6,A,291,A
USGS,12324200,4/4/1998,4,4,1998,8.5,A,10,A,7,A,289,A
USGS,12324200,4/5/1998,5,4,1998,8.5,A,10,A,7,A,295,A
USGS,12324200,4/6/1998,6,4,1998,8,A,10,A,6.5,A,303,A
USGS,12324200,4/7/1998,7,4,1998,7.5,A,10,A,5.5,A,333,A
USGS,12324200,4/8/1998,8,4,1998,7,A,8.5,A,6,A,334,A
USGS,12324200,4/9/1998,9,4,1998,7,A,8,A,5.5,A,323,A
USGS,12324200,4/10/1998,10,4,1998,7.5,A,9,A,6,A,306,A
USGS,12324200,4/11/1998,11,4,1998,8,A,9.5,A,6.5,A,305,A
USGS,12324200,4/12/1998,12,4,1998,7,A,8,A,6,A,294,A
USGS,12324200,4/13/1998,13,4,1998,6.5,A,8.5,A,4.5,A,296,A
USGS,12324200,4/14/1998,14,4,1998,6.5,A,8,A,5.5,A,286,A
USGS,12324200,4/15/1998,15,4,1998,6,A,7,A,4.5,A,279,A
USGS,12324200,4/16/1998,16,4,1998,6,A,7.5,A,4.5,A,277,A
USGS,12324200,4/17/1998,17,4,1998,6.5,A,8,A,5.5,A,276,A
USGS,12324200,4/18/1998,18,4,1998,7,A,9.5,A,5,A,269,A
USGS,12324200,4/19/1998,19,4,1998,8,A,9.5,A,7,A,261,A
USGS,12324200,4/20/1998,20,4,1998,8.5,A,11.5,A,6,A,258,A
USGS,12324200,4/21/1998,21,4,1998,10,A,13,A,7.5,A,255,A
USGS,12324200,4/22/1998,22,4,1998,11.5,A,14.5,A,8,A,253,A
USGS,12324200,4/23/1998,23,4,1998,12.5,A,14.5,A,11,A,257,A
USGS,12324200,4/24/1998,24,4,1998,10.5,A,13,A,8.5,A,290,A
USGS,12324200,4/25/1998,25,4,1998,8,A,10,A,7,A,322,A
USGS,12324200,4/26/1998,26,4,1998,8,A,11,A,5.5,A,305,A
USGS,12324200,4/27/1998,27,4,1998,10,A,13,A,7.5,A,296,A
USGS,12324200,4/28/1998,28,4,1998,12,A,14.5,A,9.5,A,288,A
USGS,12324200,4/29/1998,29,4,1998,13,A,15,A,10.5,A,283,A
USGS,12324200,4/30/1998,30,4,1998,13,A,15.5,A,11,A,294,A
USGS,12324200,5/1/1998,1,5,1998,13.5,A,16,A,11.5,A,317,A
